career_name,career_category,interest_name,relevance_weight,review_status,source_type,source_reference
Taxation Accountant,Business and Finance,Tax Planning,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211135 (Taxation Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Taxation Accountant,Business and Finance,Accounting Systems,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211135 (Taxation Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Taxation Accountant,Business and Finance,Financial Reporting,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211135 (Taxation Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Taxation Accountant,Business and Finance,Regulatory Compliance,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211135 (Taxation Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Taxation Accountant,Business and Finance,Financial Analysis,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211135 (Taxation Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Taxation Accountant,Business and Finance,Legislation and Policy,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211135 (Taxation Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Taxation Accountant,Business and Finance,Business Finance,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211135 (Taxation Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Taxation Accountant,Business and Finance,Client Advisory,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 211135 (Taxation Accountant); ESCO 1.2.1: http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897 (accountant); O*NET Database 31.0: 13-2011.00 (Accountants and Auditors)
Cyber Security Advice and Assessment Specialist,Cyber Security,Cybersecurity,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271132 (Cyber Security Advice and Assessment Specialist); ESCO 1.2.1: http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f (cybersecurity risk manager); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Advice and Assessment Specialist,Cyber Security,Cyber Risk Management,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271132 (Cyber Security Advice and Assessment Specialist); ESCO 1.2.1: http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f (cybersecurity risk manager); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Advice and Assessment Specialist,Cyber Security,Security Governance,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271132 (Cyber Security Advice and Assessment Specialist); ESCO 1.2.1: http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f (cybersecurity risk manager); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Advice and Assessment Specialist,Cyber Security,Security Assessment,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271132 (Cyber Security Advice and Assessment Specialist); ESCO 1.2.1: http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f (cybersecurity risk manager); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Advice and Assessment Specialist,Cyber Security,Compliance and Assurance,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271132 (Cyber Security Advice and Assessment Specialist); ESCO 1.2.1: http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f (cybersecurity risk manager); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Advice and Assessment Specialist,Cyber Security,Information Security,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271132 (Cyber Security Advice and Assessment Specialist); ESCO 1.2.1: http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f (cybersecurity risk manager); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Advice and Assessment Specialist,Cyber Security,Security Controls,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271132 (Cyber Security Advice and Assessment Specialist); ESCO 1.2.1: http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f (cybersecurity risk manager); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Advice and Assessment Specialist,Cyber Security,Risk Analysis,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271132 (Cyber Security Advice and Assessment Specialist); ESCO 1.2.1: http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f (cybersecurity risk manager); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Advice and Assessment Specialist,Cyber Security,Privacy and Data Protection,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271132 (Cyber Security Advice and Assessment Specialist); ESCO 1.2.1: http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f (cybersecurity risk manager); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Advice and Assessment Specialist,Cyber Security,Client Advisory,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271132 (Cyber Security Advice and Assessment Specialist); ESCO 1.2.1: http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f (cybersecurity risk manager); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Analyst,Cyber Security,Cybersecurity,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271133 (Cyber Security Analyst); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Analyst,Cyber Security,Threat Analysis,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271133 (Cyber Security Analyst); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Analyst,Cyber Security,Security Monitoring,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271133 (Cyber Security Analyst); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Analyst,Cyber Security,Vulnerability Management,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271133 (Cyber Security Analyst); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Analyst,Cyber Security,Incident Response,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271133 (Cyber Security Analyst); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Analyst,Cyber Security,Security Operations,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271133 (Cyber Security Analyst); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Analyst,Cyber Security,Information Security,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271133 (Cyber Security Analyst); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Analyst,Cyber Security,Risk Analysis,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271133 (Cyber Security Analyst); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Analyst,Cyber Security,Digital Forensics,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271133 (Cyber Security Analyst); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Analyst,Cyber Security,Network Security,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271133 (Cyber Security Analyst); O*NET Database 31.0: 15-1212.00 (Information Security Analysts)
Cyber Security Architect,Cyber Security,Security Architecture,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271134 (Cyber Security Architect); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Architect,Cyber Security,Cybersecurity,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271134 (Cyber Security Architect); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Architect,Cyber Security,Secure Systems Design,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271134 (Cyber Security Architect); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Architect,Cyber Security,Cloud Security,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271134 (Cyber Security Architect); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Architect,Cyber Security,Network Security,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271134 (Cyber Security Architect); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Architect,Cyber Security,Identity and Access Management,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271134 (Cyber Security Architect); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Architect,Cyber Security,Security Controls,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271134 (Cyber Security Architect); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Architect,Cyber Security,Information Security,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271134 (Cyber Security Architect); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Architect,Cyber Security,Threat Modelling,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271134 (Cyber Security Architect); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Architect,Cyber Security,Risk Analysis,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271134 (Cyber Security Architect); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Engineer,Cyber Security,Security Engineering,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271135 (Cyber Security Engineer); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Engineer,Cyber Security,Cybersecurity,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271135 (Cyber Security Engineer); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Engineer,Cyber Security,Security Automation,5,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271135 (Cyber Security Engineer); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Engineer,Cyber Security,Network Security,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271135 (Cyber Security Engineer); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Engineer,Cyber Security,Cloud Security,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271135 (Cyber Security Engineer); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Engineer,Cyber Security,Identity and Access Management,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271135 (Cyber Security Engineer); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Engineer,Cyber Security,Security Controls,4,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271135 (Cyber Security Engineer); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Engineer,Cyber Security,Vulnerability Management,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271135 (Cyber Security Engineer); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Engineer,Cyber Security,Secure Systems Design,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271135 (Cyber Security Engineer); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
Cyber Security Engineer,Cyber Security,Incident Response,3,approved,gradnavi_review,GradNavi-reviewed detailed Interest mapping based on the Career description and approved occupation references: ABS OSCA 2024 Version 1.0: 271135 (Cyber Security Engineer); O*NET Database 31.0: 15-1299.05 (Information Security Engineers)
