interest_name,category
Reporting and Dashboards,Data and Artificial Intelligence
Requirements Analysis,Software and Information Technology
Research and Discovery,Data and Artificial Intelligence
Research Design,Marketing and Communications
Resource Optimisation,Engineering
Responsive Design,Design and Creative Technology
Risk Analysis,Cross-Domain
Safety and Risk,Engineering
Search Marketing,Marketing and Communications
Secure Systems Design,Cyber Security
Security Architecture,Cyber Security
Security Assessment,Cyber Security
Security Automation,Cyber Security
Security Controls,Cyber Security
Security Engineering,Cyber Security
Security Governance,Cyber Security
Security Monitoring,Cyber Security
Security Operations,Cyber Security
Social Media Analytics,Marketing and Communications
Social Media Marketing,Marketing and Communications
Software Architecture,Software and Information Technology
Software Delivery,Software and Information Technology
Software Development,Software and Information Technology
Solution Design,Software and Information Technology
Sports Health,Healthcare
Stakeholder Engagement,Software and Information Technology
Statistical Analysis,Cross-Domain
Storytelling,Cross-Domain
Structural Design,Engineering
Supply Chain,Cross-Domain
Supply Chain Analytics,"People, Organisation, Operations and Supply Chain"
Survey Research,Marketing and Communications
Sustainability,Engineering
Systems Administration,Software and Information Technology
Systems Analysis,Software and Information Technology
Systems Design,Software and Information Technology
Talent Acquisition,"People, Organisation, Operations and Supply Chain"
Tax Compliance,Business and Finance
Tax Planning,Business and Finance
Taxation,Business and Finance
Technical Analysis,Engineering
Testing and Quality Assurance,Software and Information Technology
Testing and Validation,Engineering
Thermodynamics,Engineering
Threat Analysis,Cyber Security
Threat Modelling,Cyber Security
Transport Infrastructure,Engineering
Typography,Design and Creative Technology
Usability Testing,Design and Creative Technology
User Experience Design,Design and Creative Technology
User Interface Design,Design and Creative Technology
User Research,Design and Creative Technology
User-Centred Design,Design and Creative Technology
Video Content,Marketing and Communications
Video Production,Design and Creative Technology
Visual Communication,Design and Creative Technology
Vulnerability Management,Cyber Security
Water Infrastructure,Engineering
Web Analytics,Marketing and Communications
Web Design,Design and Creative Technology
Workforce Planning,"People, Organisation, Operations and Supply Chain"
Workplace Compliance,"People, Organisation, Operations and Supply Chain"
Workplace Relations,"People, Organisation, Operations and Supply Chain"
