career_name,osca_code,official_isco_codes,esco_isco_group,inside_official_isco_group,esco_code,esco_concept_uri,esco_title,matched_label,matched_label_type,exact_label_match,title_similarity,description_overlap,esco_description,review_status
Cyber Security Analyst,271133,2529,2529,yes,2529.2,http://data.europa.eu/esco/occupation/0c448a27-10ec-43ba-b880-d9938bade424,digital forensics expert,cybersecurity analyst,alternative_label,no,97.67,2.38,"Digital forensics experts retrieve and analyse information from computers and other types of data storage devices. They examine digital media that may have been hidden, encrypted or damaged, in a forensic manner with the aim to identify, preserve, recover, analyse and present facts and opinions about the digital information.",pending
Cyber Security Analyst,271133,2529,2529,yes,2529.8,http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f,cybersecurity risk manager,cybersecurity impact analyst,alternative_label,no,84.0,4.17,"Cybersecurity risk managers identify, analyse, assess, estimate and mitigate cybersecurity-related risks of ICT infrastructures such as systems or services. They manage these aspects by planning risk analysis, applying, reporting, assessing, communicating, and treating them. They establish a risk management strategy for the organisation and ensure that risks remain at an acceptable level for the organisation by selecting mitigation actions and controls.",pending
Cyber Security Analyst,271133,2529,2529,yes,2529.4,http://data.europa.eu/esco/occupation/76ef0a87-6afe-4560-b5d0-9a086abe45c5,ethical hacker,cybersecurity specialist,alternative_label,no,78.26,8.33,"Ethical hackers perform security vulnerability assessments and penetration tests in accordance with industry-accepted methods and protocols. They analyse systems for potential vulnerabilities that may result from improper system configuration, hardware or software flaws, or operational weaknesses.",pending
Cyber Security Analyst,271133,2529,1219,no,1219.1.2,http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9,security manager,cybersecurity specialist,alternative_label,no,78.26,4.55,"Security managers ensure security for people, such as customers and employees, and company’s assets either fixed, movable, machines, vehicles, and real state. They ensure safety and security by enforcing security policies, keeping track of different events, implementing security protocols, creating emergency response procedures, conducting security evaluations, and supervising security staff members.",pending
Cyber Security Analyst,271133,2529,2413,no,2413.1.4,http://data.europa.eu/esco/occupation/076d23f3-a689-4f1a-8b55-ae870c9aaa85,securities analyst,securities analyst,preferred_label,no,75.0,0.0,"Securities analysts perform research activities to gather and analyse financial, legal and economic information. They interpret data on the price, stability and future investment trends in a certain economic area and make recommendations and forecasts to business clients.",pending
Cyber Security Architect,271134,2529,2529,yes,2529.7,http://data.europa.eu/esco/occupation/0ce5a9f4-e00a-4bbe-b255-3c63407167a4,cyber incident responder,ICT security architect,alternative_label,no,86.96,0.0,"Cyber incident responders monitor and assess cybersecurity state systems, analysing, evaluating, and mitigating the impact of cybersecurity incidents. Moreover, they identify malicious actors and cyber incidents root causes. According to the organisation’s Incident Response Plan, they restore systems and process functionalities to an operational state, collecting evidence and documenting actions taken.",pending
Cyber Security Architect,271134,2529,2529,yes,2529.4,http://data.europa.eu/esco/occupation/76ef0a87-6afe-4560-b5d0-9a086abe45c5,ethical hacker,cybersecurity tester,alternative_label,no,77.27,2.7,"Ethical hackers perform security vulnerability assessments and penetration tests in accordance with industry-accepted methods and protocols. They analyse systems for potential vulnerabilities that may result from improper system configuration, hardware or software flaws, or operational weaknesses.",pending
Cyber Security Architect,271134,2529,2529,yes,2529.8,http://data.europa.eu/esco/occupation/7754d570-9519-48c2-b1c9-8e165f8bca0f,cybersecurity risk manager,ICT security chief,alternative_label,no,71.43,0.0,"Cybersecurity risk managers identify, analyse, assess, estimate and mitigate cybersecurity-related risks of ICT infrastructures such as systems or services. They manage these aspects by planning risk analysis, applying, reporting, assessing, communicating, and treating them. They establish a risk management strategy for the organisation and ensure that risks remain at an acceptable level for the organisation by selecting mitigation actions and controls.",pending
Cyber Security Architect,271134,2529,2529,yes,2529.2,http://data.europa.eu/esco/occupation/0c448a27-10ec-43ba-b880-d9938bade424,digital forensics expert,cybersecurity analyst,alternative_label,no,71.11,2.44,"Digital forensics experts retrieve and analyse information from computers and other types of data storage devices. They examine digital media that may have been hidden, encrypted or damaged, in a forensic manner with the aim to identify, preserve, recover, analyse and present facts and opinions about the digital information.",pending
Cyber Security Architect,271134,2529,1219,no,1219.1.2,http://data.europa.eu/esco/occupation/e9507d34-c70f-474f-a4a3-d2cbfe50f6e9,security manager,cybersecurity specialist,alternative_label,no,70.83,2.27,"Security managers ensure security for people, such as customers and employees, and company’s assets either fixed, movable, machines, vehicles, and real state. They ensure safety and security by enforcing security policies, keeping track of different events, implementing security protocols, creating emergency response procedures, conducting security evaluations, and supervising security staff members.",pending
Cyber Security Engineer,271135,2512,2529,no,2529.3,http://data.europa.eu/esco/occupation/1c5a896a-e010-4217-a29a-c44db26e25da,embedded systems security engineer,cyber security engineer,alternative_label,yes,100.0,4.55,"Embedded systems security engineers advise and implement solutions to control access to data and programs in embedded and connected systems. They help ensuring the safe operation of products with embedded systems and connected devices by being responsible for the protection and security of the related systems and design, plan and execute security measures accordingly. Embedded systems security engineers help to keep attackers at bay by implementing safeguards that prevent intrusions and breaches.",pending
Cyber Security Engineer,271135,2512,2529,no,2529.7,http://data.europa.eu/esco/occupation/0ce5a9f4-e00a-4bbe-b255-3c63407167a4,cyber incident responder,ICT security engineer,alternative_label,no,86.36,4.88,"Cyber incident responders monitor and assess cybersecurity state systems, analysing, evaluating, and mitigating the impact of cybersecurity incidents. Moreover, they identify malicious actors and cyber incidents root causes. According to the organisation’s Incident Response Plan, they restore systems and process functionalities to an operational state, collecting evidence and documenting actions taken.",pending
Cyber Security Engineer,271135,2512,2512,yes,2512.1,http://data.europa.eu/esco/occupation/349ee6f6-c295-4c38-9b98-48765b55280e,cloud engineer,cloud security engineer,alternative_label,no,82.61,0.0,"Cloud engineers are responsible for the design, planning, management and maintenance of cloud-based systems. They develop and implement cloud-applications, handle the migration of existing on-premise applications to the cloud, and debug cloud stacks.",pending
Cyber Security Engineer,271135,2512,2529,no,2529.4,http://data.europa.eu/esco/occupation/76ef0a87-6afe-4560-b5d0-9a086abe45c5,ethical hacker,cybersecurity tester,alternative_label,no,79.07,5.71,"Ethical hackers perform security vulnerability assessments and penetration tests in accordance with industry-accepted methods and protocols. They analyse systems for potential vulnerabilities that may result from improper system configuration, hardware or software flaws, or operational weaknesses.",pending
Cyber Security Engineer,271135,2512,3512,no,3512.3,http://data.europa.eu/esco/occupation/a44a1dc5-be08-4840-8bd5-770c4ac1ca6d,ICT security technician,cybersecurity developer,alternative_label,no,78.26,4.0,"ICT security technicians propose and implement necessary security updates and measures whenever is required. They advise, support, inform and provide training and security awareness.",pending
Data Analyst,223231,2120,2511,no,2511.3,http://data.europa.eu/esco/occupation/d3edb8f8-3a06-47a0-8fb9-9b212c006aa2,data analyst,data analyst,preferred_label,yes,100.0,2.13,"Data analysts import, inspect, clean, transform, validate, model, or interpret collections of data with regard to the business goals of the company. They ensure that the data sources and repositories provide consistent and reliable data. Data analysts use different algorithms and IT tools as demanded by the situation and the current data. They might prepare reports in the form of visualisations such as graphs, charts, and dashboards.",pending
Data Analyst,223231,2120,3341,no,3341.1,http://data.europa.eu/esco/occupation/30ca97f4-a4fd-4189-a781-ac08f6b09b78,call centre analyst,IT data analyst,alternative_label,no,88.89,4.55,Call centre analysts examine data regarding incoming or outgoing customer calls. They prepare reports and visualisation.,pending
Data Analyst,223231,2120,2631,no,2631.2.4,http://data.europa.eu/esco/occupation/b3e459a2-0103-4182-8882-c255d474a7ff,tax policy analyst,tax analyst,alternative_label,no,86.96,0.0,"Tax policy analysts research and develop taxation policies and legislation in order to improve and develop tax policies. They advise official bodies on policy implementation and financial operations, as well as forecast financial influence of changes in tax policies.",pending
Data Analyst,223231,2120,2632,no,2632.1.2,http://data.europa.eu/esco/occupation/19db5ad1-ffbf-41a0-8746-d3878f0d5dbd,media scientist,media analyst,alternative_label,no,80.0,0.0,"Media scientists research the role and impact that media has on the society. They observe and document the usage of different kinds of media such as newspapers, radio and TV and the response from society.",pending
Data Analyst,223231,2120,2351,no,2351.2,http://data.europa.eu/esco/occupation/5a282a39-5346-454a-b1ef-c1217c50e156,educational researcher,educational analyst,alternative_label,no,77.42,0.0,"Educational researchers perform research in the area of education. They strive to broaden the knowledge on how education processes, educational systems, and individuals (teachers and learners) work. They foresee areas of improvement and develop plans for the implementation of innovations. They advise legislators and policy makers on educational issues and assist in the planning of educational policies.",pending
Data Architect,223232,2120,2521,no,2521.2,http://data.europa.eu/esco/occupation/8d9ec84d-cf2d-4179-87bc-335cda54a427,database designer,data architect,alternative_label,yes,100.0,8.7,"Database designers specify the database's logical structure, processes, and information flows. They design data models and databases to serve data acquisition.",pending
Data Architect,223232,2120,2511,no,2511.14.1,http://data.europa.eu/esco/occupation/78faf623-2543-43a5-acb2-3c43a22d36e4,blockchain architect,DLT architect,alternative_label,no,88.89,3.7,"Blockchain architects are ICT system architects that are specialized in blockchain-based solutions. They design architecture, components, modules, interfaces, and data for a decentralized system to meet specified requirements.",pending
Data Architect,223232,2120,2144,no,2144.1.14,http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,naval architect,naval architect,preferred_label,no,82.76,5.13,"Naval architects design, build, maintain and repair all types of boats from pleasure crafts to naval vessels, including submarines. They analyse floating structures and take various features into account for their designs such as the form, structure, stability, resistance, access and propulsion of hulls.",pending
Data Architect,223232,2120,2161,no,2161.1,http://data.europa.eu/esco/occupation/8c3f536e-ba66-4321-ba40-363dc39f129b,architect,architect,preferred_label,no,78.26,0.0,"Architects investigate, design, and oversee the construction and development of buildings, urban spaces, infrastructure projects, and social spaces. They design in accordance with the surroundings and regulations applicable in specific geographic areas, taking into account factors that include function, aesthetics, costs, and public health and safety. They are aware of social contexts and environmental factors, which include the relationships between people and buildings, and buildings and the environment. They engage in multidisciplinary projects aimed at developing the social fabric of a geographic area and advancing in social urbanism projects.",pending
Data Architect,223232,2120,2161,no,2161.1.1,http://data.europa.eu/esco/occupation/efa81635-9125-4276-8902-9deb12170ea7,interior architect,architect,alternative_label,no,78.26,0.0,"Interior architects create plans of the interior of a home, building or other structure. They determine the specifications and distribution of the space. Interior architects combine an understanding of space with a sense for aesthetics in order to create a harmonious interior design. They draw architectural drawings using computer-aided equipment and software, or using conventional methods like paper and pen.",pending
Data Engineer,223233,2120,2511,no,2511.20,http://data.europa.eu/esco/occupation/2079755f-d809-49e6-8037-4de6180e54c0,data engineer,data engineer,preferred_label,yes,100.0,6.45,"Data engineers develop the architecture needed to process, manage, and store large amounts of data which will be used by data scientists for analysis. They design the infrastructure and maintain data pipelines and warehouses to leverage data for strategic advantage.",pending
Data Engineer,223233,2120,2512,no,2512.4.1,http://data.europa.eu/esco/occupation/24135b84-cbdd-4d42-9ed2-02fd982d15b2,blockchain developer,DLT engineer,alternative_label,no,88.0,10.0,"Blockchain developers implement or program blockchain-based software systems based on specifications and designs by using programming languages, tools, and blockchain platforms.",pending
Data Engineer,223233,2120,2144,no,2144.1.3,http://data.europa.eu/esco/occupation/8d410283-865d-4cbb-acae-ac7f69d9cf26,automotive engineer,auto engineer,alternative_label,no,84.62,0.0,"Automotive engineers design and oversee the manufacturing process and operation of motor vehicles such as motorcycles, cars, trucks, buses and their respective engineering systems. They design new vehicles or mechanical parts, supervise modifications and resolve technical problems. They make sure the designs comply with cost specifications and other constraints. They also conduct research studying environmental, energy and safety aspects.",pending
Data Engineer,223233,2120,2149,no,2149.3,http://data.europa.eu/esco/occupation/e8fca903-6590-48a8-8902-094bb41ee90c,autonomous driving specialist,AV engineer,alternative_label,no,83.33,6.06,"Autonomous driving specialists design and oversee the operation of an autonomous vehicle. They collect data on systems performance, conduct vehicle testing and analyse test data. Autonomous driving specialists are aware of different technologies employed in self-driving cars, automotive systems and automotive technologies.",pending
Data Engineer,223233,2120,3512,no,3512.4,http://data.europa.eu/esco/occupation/3e7bf729-4442-4b9f-ad5e-83111963795c,ICT technician,IT engineer,alternative_label,no,83.33,2.78,"ICT technicians install, maintain, repair and operate information systems and any ICT related equipment (laptops, desktops, servers, tablets, smart phones, communications equipment, printers and any piece of computer related peripheral networks), and any type of software (drivers, operating systems, applications).",pending
Data Scientist,223234,2120,2511,no,2511.4,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,data scientist,data scientist,preferred_label,yes,100.0,6.82,"Data scientists find and interpret rich data sources, manage large amounts of data, merge data sources, ensure consistency of data-sets, and create visualisations to aid in understanding data. They build mathematical models using data, present and communicate data insights and findings to specialists and scientists in their team and if required, to a non-expert audience, and recommend ways to apply the data.",pending
Data Scientist,223234,2120,2131,no,2131.3,http://data.europa.eu/esco/occupation/68d973df-bf10-4bf7-9a1b-fbd9f604b9db,bioinformatics scientist,data scientist,alternative_label,yes,100.0,4.26,"Bioinformatics scientists analyse biological processes using computer programmes. They maintain or construct databases containing biological information. Bioinformatics scientists gather and analyse biological data and may also assist scientists in various fields, including in biotechnology and pharmaceutics. They perform scientific research and statistical analyses, and report on their findings. Bioinformatics scientists may also collect DNA samples, discover data patterns and conduct genetic research.",pending
Data Scientist,223234,2120,2632,no,2632.1,http://data.europa.eu/esco/occupation/acf69cab-8629-45c8-ae10-c8fb15f474b6,anthropologist,arts scientist,alternative_label,no,85.71,0.0,"Anthropologists research all aspects of life pertaining to humans. They study the various civilisations that have existed along the time and their ways of organisation. They attempt to analyse the physical, societal, linguistic, political, economical, philosophical, and cultural aspects of different people. The aim of their studies is to understand and describe the past of humanity and solve topical societal problems. They explore different perspectives such as philosophical anthropology.",pending
Data Scientist,223234,2120,2511,no,2511.1,http://data.europa.eu/esco/occupation/e3229e40-f571-4b26-baca-29edc8fe313e,computer scientist,IT scientist,alternative_label,no,84.62,2.22,"Computer scientists conduct research in computer and information science, directed toward greater knowledge and understanding of fundamental aspects of ICT phenomena. They write research reports and proposals. Computer scientists also invent and design new approaches to computing technology, find innovative uses for existing technology and studies and solve complex problems in computing.",pending
Data Scientist,223234,2120,3141,no,3141.2.4,http://data.europa.eu/esco/occupation/2c5ae1b4-c3ca-4882-b7ce-e346ae5b5b00,botanical technician,plant scientist,alternative_label,no,82.76,2.27,"Botanical technicians provide technical assistance in researching and testing different plant species to monitor their properties such as growth and structure. They collect and analyse data using laboratory equipment, compile reports and maintain laboratory stock. Botanical technicians also study plants to research their use in areas such as medicine, food and materials.",pending
Digital Marketing Analyst,221532,2431,1221,no,1221.5,http://data.europa.eu/esco/occupation/dc97adbe-f807-4ad8-8f3c-c24b3416cdef,digital marketing manager,digital marketing manager,preferred_label,no,84.0,5.0,"Digital marketing managers are responsible for the elaboration of the company's digital marketing strategy with the goal of improving brand recognition and brand awareness, in line with the company's mission and vision. They oversee the execution of digital marketing and communication strategies involving the use of social media, email marketing, marketing automation, search engine optimisation, online events and online advertisement through data driven methodologies and by measuring and monitoring digital marketing KPIs in order to promptly implement corrective action plan. They manage and interpret competitors and consumers' data and conduct research on market conditions.",pending
Digital Marketing Analyst,221532,2431,2431,yes,2431.10,http://data.europa.eu/esco/occupation/4791e217-d607-40d5-9f84-df1d0a071cbc,marketing consultant,marketing analyst,alternative_label,no,80.95,2.44,"Marketing consultants advise companies in the development of marketing strategies for specific purposes. They can advise and develop strategies for the entry of a brand in the market, for the re-launch of a product, for the introduction of a new product, or for the positioning of a commercial image. They perform previous studies of the position of the company and perception of customers in order to define the marketing approach.",pending
Digital Marketing Analyst,221532,2431,2413,no,2413.1,http://data.europa.eu/esco/occupation/8d586ee9-0ab1-4155-a3b0-2ca786c8e48c,financial analyst,capital markets analyst,alternative_label,no,79.17,2.86,"Financial analysts conduct economic research and elicit valuable analyses on financial matters such as profitability, liquidity, solvency, and asset management. They provide recommendations on financial matters for decision-making processes. Financial analysts work in both the public and the private sector.",pending
Digital Marketing Analyst,221532,2431,2529,no,2529.2,http://data.europa.eu/esco/occupation/0c448a27-10ec-43ba-b880-d9938bade424,digital forensics expert,digital forensics analyst,alternative_label,no,76.0,2.44,"Digital forensics experts retrieve and analyse information from computers and other types of data storage devices. They examine digital media that may have been hidden, encrypted or damaged, in a forensic manner with the aim to identify, preserve, recover, analyse and present facts and opinions about the digital information.",pending
Digital Marketing Analyst,221532,2431,2511,no,2511.3,http://data.europa.eu/esco/occupation/d3edb8f8-3a06-47a0-8fb9-9b212c006aa2,data analyst,data warehousing analyst,alternative_label,no,73.47,0.0,"Data analysts import, inspect, clean, transform, validate, model, or interpret collections of data with regard to the business goals of the company. They ensure that the data sources and repositories provide consistent and reliable data. Data analysts use different algorithms and IT tools as demanded by the situation and the current data. They might prepare reports in the form of visualisations such as graphs, charts, and dashboards.",pending
Management Accountant,211134,2411,2421,no,2421.1,http://data.europa.eu/esco/occupation/60082a99-d8ef-4e84-9290-78902681b6ed,business analyst,management consultant,alternative_label,no,85.71,0.0,"Business analysts research and understand the strategic position of businesses and companies in relation to their markets and their stakeholders. They analyse and present their views on how the company, from many perspectives, can improve its strategic position and internal corporate structure. They assess needs for change, communication methods, technology, IT tools, new standards and certifications.",pending
Management Accountant,211134,2411,2422,no,2422.6,http://data.europa.eu/esco/occupation/61053604-8091-4a8e-9c63-5151051722e3,healthcare consultant,management consultant,alternative_label,no,85.71,0.0,"Healthcare consultants advise health care organisations on the development of plans to improve patient care and safety. They analyse health care policies and identify issues, and aid in the development of improvement strategies.",pending
Management Accountant,211134,2411,3343,no,3343.4,http://data.europa.eu/esco/occupation/8cce40c1-4479-47e7-b5fc-c976631d919f,management assistant,management assistant,preferred_label,no,78.05,3.12,"Management assistants perform varied types of jobs, usually under general supervision. They carry out administrative tasks and support managers to ensure the entire department functions smoothly.",pending
Management Accountant,211134,2411,2143,no,2143.1.3,http://data.europa.eu/esco/occupation/7a523273-9fff-4f11-beb6-110eeaec1436,recycling specialist,waste management consultant,alternative_label,no,75.0,0.0,"Recycling specialists research recycling policies and legislation, and supervise implementation in an organisation to ensure that waste management occurs according to regulations. They perform inspections, provide recycling equipment, and supervise recycling workers. They also advise organisations on ways they can improve their waste management procedures.",pending
Management Accountant,211134,2411,2411,yes,2411.1.4,http://data.europa.eu/esco/occupation/4e4a291d-1d38-4c5a-812a-5827d0691b11,budget analyst,budget accountant,alternative_label,no,73.68,3.03,"Budget analysts monitor the spending activities of public and private institutions and companies. They prepare budget reports, review the budget model used in the company and ensure compliance with the budgeting policies and other legal regulations.",pending
Registered Nurse (Acute Care),265432,2221,4311,no,4311.2,http://data.europa.eu/esco/occupation/5c1eba1e-7820-4287-9746-4c5906320100,sales support assistant,registered sales assistant,alternative_label,no,64.15,2.78,"Sales support assistants perform a variety of general sales support tasks, such as supporting the development of sales plans, managing clerical activities of sales efforts, verifying client invoices and other accounting documents or records, compiling data, and preparing reports for other company departments.",pending
Registered Nurse (Acute Care),265432,2221,2411,no,2411.1,http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897,accountant,register accountant,alternative_label,no,60.87,2.17,"Accountants review and analyse financial statements, budgets, financial reports, and business plans in order to check for irregularities resulting from error or fraud, and provide their clients with financial advice in matters such as financial forecasting and risk analysis. They may audit financial data, resolve insolvency cases, prepare tax returns and provide other tax-related advice in reference to current legislation.",pending
Registered Nurse (Acute Care),265432,2221,2221,yes,2221.1,http://data.europa.eu/esco/occupation/36494988-69d2-4420-9db4-eb56605ac983,advanced nurse practitioner,emergency nurse practitioner,alternative_label,no,58.18,4.17,"Advanced nurse practitioners are in charge of promoting and restoring patients` health, provide diagnosis and care in advanced settings, coordinating care within areas of chronic disease management, providing integrated care, and supervising assigned team members. Advanced nurse practitioners are general care nurses who have acquired an expert knowledge base, complex decision making skills and clinical competencies for expanded clinical practice on advanced level.",pending
Registered Nurse (Acute Care),265432,2221,2221,yes,2221.3,http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,specialist nurse,specialist nurse practitioner,alternative_label,no,57.14,3.85,"Specialist nurses promote and restore people's health, and diagnose and care within a specific branch of the nursing field. Examples of such specialist nursing jobs include but are not restricted to; ambulatory care nurse, advanced practice nurse, cardiac nurse, dental nurse, community health nurse, forensic nurse, gastroenterology nurse, hospice and palliative care nurse, paediatric nurse, public health nurse, rehabilitation nurse, renal nurse and school nurse. Specialist nurses are general care nurses prepared beyond the level of a nurse generalist and authorised to practice as specialists with specific expertise in a branch of the nursing field.",pending
Registered Nurse (Acute Care),265432,2221,2330,no,2330.1.10,http://data.europa.eu/esco/occupation/c011a88b-95ab-46ad-ad30-539e3fc56092,literature teacher at secondary school,english literature teacher,alternative_label,no,56.6,2.13,"Literature teachers at secondary schools provide education to students, commonly children and young adults, in a secondary school setting. They are usually subject teachers, specialised and instructing in their own field of study, literature. They prepare lesson plans and materials, monitor the students' progress, assist individually when necessary, and evaluate the students' knowledge and performance on the subject of literature through assignments, tests and examinations.",pending
Taxation Accountant,211135,2411,2411,yes,2411.1,http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897,accountant,production accountant,alternative_label,no,75.0,2.22,"Accountants review and analyse financial statements, budgets, financial reports, and business plans in order to check for irregularities resulting from error or fraud, and provide their clients with financial advice in matters such as financial forecasting and risk analysis. They may audit financial data, resolve insolvency cases, prepare tax returns and provide other tax-related advice in reference to current legislation.",pending
Taxation Accountant,211135,2411,3313,no,3313.1,http://data.europa.eu/esco/occupation/bfe142b9-a049-4d41-89c4-fd2f34ac56b6,accounting assistant,junior accountant,alternative_label,no,72.22,0.0,"Accounting assistants record and report ticketing accounting situations to the accountant they work with, verify deposits and prepare daily reports and income. They arrange authorised refund vouchers, maintain the returned check accounts and communicate with ticketing managers concerning about any issues with ticketing systems.",pending
Taxation Accountant,211135,2411,2411,yes,2411.1.5,http://data.europa.eu/esco/occupation/84871c2a-abd1-45eb-b03a-65e51a26fd84,cost analyst,cost accountant,alternative_label,no,70.59,3.03,"Cost analysts prepare regular costs, budgeting analyses and reports in order to contribute to the overall cost planning and forecasting activities of a business. They review and reconcile key balance sheets and identify new opportunities to save costs.",pending
Taxation Accountant,211135,2411,4212,no,4212.2,http://data.europa.eu/esco/occupation/264e1a4a-5074-47e2-a6d9-d225d48e8a9a,bookmaker,turf accountant,alternative_label,no,70.59,0.0,"Bookmakers (also often called 'bookies', or 'turf accountants') take bets on sports games and other events at agreed upon odds, they calculate odds and pay out winnings. They are responsible for the risk management.",pending
Taxation Accountant,211135,2411,2411,yes,2411.1.11,http://data.europa.eu/esco/occupation/78db356f-a96a-4456-ab29-2de62e52f830,public finance accountant,finance accountant,alternative_label,no,70.27,2.63,"Public finance accountants head the treasury department of a governmental institution. They manage the institution's financial administration, expenditure and income generation, and compliance with taxation and other financial legislation. They perform administrative duties to ensure record keeping, develop plans for budget management and perform financial forecasts.",pending
UI / UX Designer,242132,2166,2513,no,2513.3,http://data.europa.eu/esco/occupation/96e20037-0a25-4bf6-a25e-808d1605d890,user interface designer,UI designer,alternative_label,no,88.0,7.41,"User interface designers are in charge of designing user interfaces for applications and systems. They perform layout, graphics and dialogues design activities as well as adaptation activities.",pending
