career_name,osca_code,osca_title,isco08_code,isco08_title,correspondence_flag,esco_concept_uri,esco_code,esco_title,matched_label,matched_label_type,normalized_exact,similarity_score,esco_description,esco_modified_date,review_status
Digital Marketing Analyst,221532,Digital Marketing Analyst,2431,Advertising and marketing professionals,p,http://data.europa.eu/esco/occupation/356227b9-2263-4dbd-81e9-7dfc6d3f3af7,2431.10.4,online marketer,digital marketer,alternative_label,no,68.29,"Online marketers use e-mail, internet and social media in order to market goods and brands.",2024-02-06T13:41:20.69Z,pending
Market Research Analyst,221533,Market Research Analyst,2431,Advertising and marketing professionals,p,http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1,2431.11,market research analyst,market research analyst,preferred_label,yes,100.0,"Market research analysts collect the information gathered in the market research and study it to draw conclusions. They define the potential customers of a product, the target group and the way they can be reached. Market research analysts analyse the position of products in the market from different perspectives such as features, prices and competitors. They analyse cross selling and interdependencies between different products and their placement. Market research analysts prepare information helpful for the development of marketing strategies.",2024-01-17T11:32:34.337Z,pending
Market Research Analyst,221533,Market Research Analyst,2431,Advertising and marketing professionals,p,http://data.europa.eu/esco/occupation/4791e217-d607-40d5-9f84-df1d0a071cbc,2431.10,marketing consultant,marketing analyst,alternative_label,no,70.0,"Marketing consultants advise companies in the development of marketing strategies for specific purposes. They can advise and develop strategies for the entry of a brand in the market, for the re-launch of a product, for the introduction of a new product, or for the positioning of a commercial image. They perform previous studies of the position of the company and perception of customers in order to define the marketing approach.",2024-01-22T12:25:45.517Z,pending
Market Research Analyst,221533,Market Research Analyst,2431,Advertising and marketing professionals,p,http://data.europa.eu/esco/occupation/e16c2422-1323-4d8a-bd0f-c7584de70be1,2431.14,pricing specialist,retail pricing analyst,alternative_label,no,62.22,"Pricing specialists analyse production prices, market trends and competitors in order to establish the right price, taking brand and marketing concepts into consideration.",2025-08-01T12:43:34.143Z,pending
Marketing Specialist,221534,Marketing Specialist,2431,Advertising and marketing professionals,p,http://data.europa.eu/esco/occupation/4791e217-d607-40d5-9f84-df1d0a071cbc,2431.10,marketing consultant,marketing specialist,alternative_label,yes,100.0,"Marketing consultants advise companies in the development of marketing strategies for specific purposes. They can advise and develop strategies for the entry of a brand in the market, for the re-launch of a product, for the introduction of a new product, or for the positioning of a commercial image. They perform previous studies of the position of the company and perception of customers in order to define the marketing approach.",2024-01-22T12:25:45.517Z,pending
Marketing Specialist,221534,Marketing Specialist,2431,Advertising and marketing professionals,p,http://data.europa.eu/esco/occupation/356227b9-2263-4dbd-81e9-7dfc6d3f3af7,2431.10.4,online marketer,online marketing specialist,alternative_label,no,85.11,"Online marketers use e-mail, internet and social media in order to market goods and brands.",2024-02-06T13:41:20.69Z,pending
Marketing Specialist,221534,Marketing Specialist,2431,Advertising and marketing professionals,p,http://data.europa.eu/esco/occupation/4163b31e-440b-4991-b5c3-48d0515250ef,2431.13,network marketer,network marketing specialist,alternative_label,no,83.33,"Network marketers apply various marketing strategies, including ​network marketing strategies to sell products and convince new people to also join in and start selling these products. They use personal relations to attract customers and sell various types of products.",2023-12-21T09:55:48.934Z,pending
Human Resources Adviser,222131,Human Resources Adviser,2423,Personnel and career professionals,p,http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb,2423.3,human resources officer,human resources director,alternative_label,no,85.11,"Human resources officers develop and implement strategies that help their employers select and retain appropriately qualified staff within that business sector. They recruit staff, prepare job advertisements, interview and short-list people, negotiate with employment agencies, and set up working conditions. Human resources officers also administer the payroll, review salaries and advise on remuneration benefits and employment law. They arrange for training opportunities to enhance employees' performance.",2025-01-28T16:24:40.1Z,pending
Human Resources Adviser,222131,Human Resources Adviser,2423,Personnel and career professionals,p,http://data.europa.eu/esco/occupation/5d0cc30d-068a-424c-8463-f42872a7149e,2423.1,career guidance advisor,careers advisor,alternative_label,no,63.16,"Career guidance advisors provide guidance and advice to adults and students on making educational, training and occupational choices and assist people in managing their careers, through career planning and career exploration. They help identify options for future careers, assist beneficiaries in the development of their curriculum and help people reflect on their ambitions, interests and qualifications. Career guidance advisors may provide advice on various career planning issues and make suggestions for lifelong learning if necessary, including study recommendations. They may also assist the individual in the search for a job or provide guidance and advice to prepare a candidate for recognition of prior learning.",2024-01-16T14:18:41.002Z,pending
Human Resources Adviser,222131,Human Resources Adviser,2423,Personnel and career professionals,p,http://data.europa.eu/esco/occupation/20b9f370-6b56-4679-8c06-c23b866a5bd0,2423.4,labour relations officer,union representative,alternative_label,no,51.16,"Labour relations officers implement labour policy in an organisation, and advise trade unions on policies and negotiation. They handle disputes, and advise management on personnel policy as well as facilitate communication between trade unions and managerial staff.",2024-01-16T14:18:43.806Z,pending
Workplace Relations Adviser,222132,Workplace Relations Adviser,2423,Personnel and career professionals,p,http://data.europa.eu/esco/occupation/e4112a88-973f-4c7a-97f5-2241e6b6833f,2423.2,employment and vocational integration consultant,job placement adviser,alternative_label,no,66.67,"Employment and vocational integration consultants offer assistance to unemployed individuals in finding jobs or vocational training opportunities, according to their educational or professional background and experience. They advise them on how to market their skills in the job-hunting process. Employment and vocational integration consultants help job-seekers write CVs and cover letters, prepare for a job interview and indicate where to search for new job or training opportunities.",2025-01-28T16:24:30.294Z,pending
Workplace Relations Adviser,222132,Workplace Relations Adviser,2423,Personnel and career professionals,p,http://data.europa.eu/esco/occupation/1fce1be0-bf52-449b-9a2b-3f2cc710290a,2423.7,compensation analyst,compensation advisor,alternative_label,no,63.83,Compensation analysts recognise and reward contributions and behaviors that support company’s business objectives and corporate values.,2023-11-22T11:16:34.798Z,pending
Workplace Relations Adviser,222132,Workplace Relations Adviser,2423,Personnel and career professionals,p,http://data.europa.eu/esco/occupation/20b9f370-6b56-4679-8c06-c23b866a5bd0,2423.4,labour relations officer,labour relations officer,preferred_label,no,62.75,"Labour relations officers implement labour policy in an organisation, and advise trade unions on policies and negotiation. They handle disputes, and advise management on personnel policy as well as facilitate communication between trade unions and managerial staff.",2024-01-16T14:18:43.806Z,pending
Recruitment Consultant,222231,Recruitment Consultant,2423,Personnel and career professionals,p,http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815,2423.6,recruitment consultant,recruitment consultant,preferred_label,yes,100.0,"Recruitment consultants provide the suitable candidates to employers according to the specific job profile requested. They perform testing and interviewing with job seekers, shortlist few candidates to present to the employers and match candidates to appropriate jobs. Recruitment consultants maintain relationships with employers to offer their services on a more long-term basis.",2025-01-28T16:25:37.44Z,pending
Recruitment Consultant,222231,Recruitment Consultant,2423,Personnel and career professionals,p,http://data.europa.eu/esco/occupation/1fce1be0-bf52-449b-9a2b-3f2cc710290a,2423.7,compensation analyst,compensation consultant,alternative_label,no,71.11,Compensation analysts recognise and reward contributions and behaviors that support company’s business objectives and corporate values.,2023-11-22T11:16:34.798Z,pending
Recruitment Consultant,222231,Recruitment Consultant,2423,Personnel and career professionals,p,http://data.europa.eu/esco/occupation/e4112a88-973f-4c7a-97f5-2241e6b6833f,2423.2,employment and vocational integration consultant,outplacement consultant,alternative_label,no,71.11,"Employment and vocational integration consultants offer assistance to unemployed individuals in finding jobs or vocational training opportunities, according to their educational or professional background and experience. They advise them on how to market their skills in the job-hunting process. Employment and vocational integration consultants help job-seekers write CVs and cover letters, prepare for a job interview and indicate where to search for new job or training opportunities.",2025-01-28T16:24:30.294Z,pending
Recruitment Consultant,222231,Recruitment Consultant,3333,Employment agents and contractors,p,http://data.europa.eu/esco/occupation/42a96d07-1e1d-49ae-9399-c1f4be27ddea,3333.1,employment agent,employment agent,preferred_label,no,47.37,Employment agents work for employment services and agencies. They match job seekers with advertised job vacancies and provide advice on job search activities.,2025-01-28T16:23:45.548Z,pending
Recruitment Consultant,222231,Recruitment Consultant,3339,Business service agents not elsewhere classified,p,http://data.europa.eu/esco/occupation/5a8835bf-65c7-48e3-ab2f-7ad98b3fdb59,3339.3,intellectual property consultant,patent consultant,alternative_label,no,76.92,"Intellectual property consultants provide advice on the usage of intellectual property assests such as patents, copyrights, and trademarks. They help clients to value, in monetary terms, intellectual property portfolios, to follow adequate legal procedures for protecting of such property, and to perform patent brokerage activities.",2023-10-31T10:29:06.592Z,pending
Recruitment Consultant,222231,Recruitment Consultant,3339,Business service agents not elsewhere classified,p,http://data.europa.eu/esco/occupation/2049d7ef-9ebe-41ae-b8b5-e97b77ee58a2,3339.6,relocation officer,relocation consultant,alternative_label,no,74.42,Relocation officers help businesses and organisations with the move of employees. They are responsible for managing all moving activities including the planning of moving services and the provision of advises on real estate. They look after the general well-being of the employees and their family.,2023-12-21T10:27:10.379Z,pending
Recruitment Consultant,222231,Recruitment Consultant,3339,Business service agents not elsewhere classified,p,http://data.europa.eu/esco/occupation/c85e39a4-2c40-413f-a171-45907ecdd599,3339.7,talent agent,talent booking agent,alternative_label,no,47.62,"Talent agents represent actors, authors, broadcast journalists, film directors, musicians, models, professional athletes, screenwriters, writers, and other professionals in various entertainment or broadcast businesses. They promote their clients in order to attract prospective employers. Talent agents set up public appearances, auditions and performances. They take care of contract negotiations.",2023-12-21T10:27:12.615Z,pending
Data Analyst,223231,Data Analyst,2120,"Mathematicians, actuaries and statisticians",p,http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482,2120.1,actuarial consultant,actuarial analyst,alternative_label,no,75.86,"Actuarial consultants analyse, manage and provide guidance on financial impact of risks. They can work in fields related to insurance, pension, investment, banking, healthcare etc. Actuarial consultants apply technical and statistical models and theories to give strategic, commercial, and financial advice.",2023-12-01T16:22:47.262Z,pending
Data Analyst,223231,Data Analyst,2120,"Mathematicians, actuaries and statisticians",p,http://data.europa.eu/esco/occupation/ac8b3cd1-a127-4e6a-8208-5cfcf7111955,2120.6,statistician,statistical data analyst,alternative_label,no,66.67,"Statisticians collect, tabulate, and, most importantly, analyse quantitative information coming from a varied array of fields. They interpret and analyse statistical studies on fields such as health, demographics, finance, business, etc. and advise based on patterns and drawn analysis.",2024-01-23T10:55:34.862Z,pending
Data Analyst,223231,Data Analyst,2120,"Mathematicians, actuaries and statisticians",p,http://data.europa.eu/esco/occupation/ff656b3a-65a8-4b4f-b04e-9db12936519b,2120.2,demographer,demography analyst,alternative_label,no,66.67,"Demographers study a variety of parameters related with population. They develop, based on their observations, statistical analyses on the evolutions and changes of births, elderly, marriage and divorce, employment, mortality, immigration and related matters.",2024-01-23T10:55:28.923Z,pending
Data Architect,223232,Data Architect,2120,"Mathematicians, actuaries and statisticians",p,http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482,2120.1,actuarial consultant,actuaries,alternative_label,no,52.17,"Actuarial consultants analyse, manage and provide guidance on financial impact of risks. They can work in fields related to insurance, pension, investment, banking, healthcare etc. Actuarial consultants apply technical and statistical models and theories to give strategic, commercial, and financial advice.",2023-12-01T16:22:47.262Z,pending
Data Architect,223232,Data Architect,2120,"Mathematicians, actuaries and statisticians",p,http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2,2120.5,mathematician,mathematics research scientist,alternative_label,no,50.0,"Mathematicians study and deepen existing mathematical theories in order to expand the knowledge and find new paradigms within the field. They can apply this knowledge to challenges presented in engineering and scientific projects in order to assure that measurements, quantities, and mathematic laws prove their viability.",2024-01-23T10:55:32.156Z,pending
Data Architect,223232,Data Architect,2120,"Mathematicians, actuaries and statisticians",p,http://data.europa.eu/esco/occupation/ac8b3cd1-a127-4e6a-8208-5cfcf7111955,2120.6,statistician,statistical research scientist,alternative_label,no,50.0,"Statisticians collect, tabulate, and, most importantly, analyse quantitative information coming from a varied array of fields. They interpret and analyse statistical studies on fields such as health, demographics, finance, business, etc. and advise based on patterns and drawn analysis.",2024-01-23T10:55:34.862Z,pending
Data Engineer,223233,Data Engineer,2120,"Mathematicians, actuaries and statisticians",p,http://data.europa.eu/esco/occupation/491cf76d-eb0d-4f15-90f0-3f5c9b11472a,2120.4,gambling quality assurance engineer,gambling engineer,alternative_label,no,66.67,"Gambling quality assurance engineers design and plan methods to test the gambling, the lottery or betting games. They execute the tests. These games can be both for public or for private audience, and the tests are for both online and land-based gaming.",2024-02-08T10:29:53.03Z,pending
Data Engineer,223233,Data Engineer,2120,"Mathematicians, actuaries and statisticians",p,http://data.europa.eu/esco/occupation/18552245-3c36-4a52-b4c6-295cabb5c93b,2120.3,gambling games developer,gambling designer,alternative_label,no,46.67,"Gambling games developers create, develop and produce content for lottery, betting and similar gambling games for large audiences.",2024-02-07T14:39:01.319Z,pending
Data Engineer,223233,Data Engineer,2120,"Mathematicians, actuaries and statisticians",p,http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2,2120.5,mathematician,mathematics researcher,alternative_label,no,45.71,"Mathematicians study and deepen existing mathematical theories in order to expand the knowledge and find new paradigms within the field. They can apply this knowledge to challenges presented in engineering and scientific projects in order to assure that measurements, quantities, and mathematic laws prove their viability.",2024-01-23T10:55:32.156Z,pending
Data Scientist,223234,Data Scientist,2120,"Mathematicians, actuaries and statisticians",p,http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2,2120.5,mathematician,mathematics scientist,alternative_label,no,74.29,"Mathematicians study and deepen existing mathematical theories in order to expand the knowledge and find new paradigms within the field. They can apply this knowledge to challenges presented in engineering and scientific projects in order to assure that measurements, quantities, and mathematic laws prove their viability.",2024-01-23T10:55:32.156Z,pending
Data Scientist,223234,Data Scientist,2120,"Mathematicians, actuaries and statisticians",p,http://data.europa.eu/esco/occupation/ac8b3cd1-a127-4e6a-8208-5cfcf7111955,2120.6,statistician,statistical scientist,alternative_label,no,74.29,"Statisticians collect, tabulate, and, most importantly, analyse quantitative information coming from a varied array of fields. They interpret and analyse statistical studies on fields such as health, demographics, finance, business, etc. and advise based on patterns and drawn analysis.",2024-01-23T10:55:34.862Z,pending
Data Scientist,223234,Data Scientist,2120,"Mathematicians, actuaries and statisticians",p,http://data.europa.eu/esco/occupation/ff656b3a-65a8-4b4f-b04e-9db12936519b,2120.2,demographer,demography scientist,alternative_label,no,70.59,"Demographers study a variety of parameters related with population. They develop, based on their observations, statistical analyses on the evolutions and changes of births, elderly, marriage and divorce, employment, mortality, immigration and related matters.",2024-01-23T10:55:28.923Z,pending
Management Consultant,223432,Management Consultant,2421,Management and organisation analysts,p,http://data.europa.eu/esco/occupation/60082a99-d8ef-4e84-9290-78902681b6ed,2421.1,business analyst,management consultant,alternative_label,yes,100.0,"Business analysts research and understand the strategic position of businesses and companies in relation to their markets and their stakeholders. They analyse and present their views on how the company, from many perspectives, can improve its strategic position and internal corporate structure. They assess needs for change, communication methods, technology, IT tools, new standards and certifications.",2024-01-25T10:51:24.838Z,pending
Management Consultant,223432,Management Consultant,2421,Management and organisation analysts,p,http://data.europa.eu/esco/occupation/a520fba4-2a29-43a0-bfd5-43892306501d,2421.6,building information modelling consultant,BIM consultant,alternative_label,no,68.57,"Building information modelling consultants advice, guide and evaluate clients in building information modelling (BIM) business processes, as well as construction teams on performing BIM technologies. They manage the communication with staff and clients, implement strategies and BIM solutions for completing the deliverables, and draft documents such as flow charts, agendas and guides for best practices.",2023-10-25T10:19:31.541Z,pending
Management Consultant,223432,Management Consultant,2421,Management and organisation analysts,p,http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97,2421.2,business consultant,business consultant,preferred_label,no,65.0,"Business consultants analyse the position, structure and processes of businesses and companies and offer services or advice to improve them. They research and identify business processes such as financial inefficiencies or employee management and devise strategical plans to overcome these difficulties. They work in external consulting firms where they provide an objective view on a business and or company's structure and methodological processes.",2024-07-04T14:24:42.597Z,pending
Supply Chain Analyst,223434,Supply Chain Analyst,2421,Management and organisation analysts,p,http://data.europa.eu/esco/occupation/51cd3a7a-eae6-4dc6-9f24-179d7ec6d230,2421.5,logistics analyst,supply chain analyst,alternative_label,yes,100.0,"Logistics analysts streamline product manufacturing, transportation, storage and distribution. They assess production and supply chain problems to determine economically efficient solutions. They assists company managers in decision-making processes and direct programs designed to provide subcontractors, managers and customers with logistic technology.",2025-07-29T12:05:00.95Z,pending
Supply Chain Analyst,223434,Supply Chain Analyst,2421,Management and organisation analysts,p,http://data.europa.eu/esco/occupation/60082a99-d8ef-4e84-9290-78902681b6ed,2421.1,business analyst,business analyst,preferred_label,no,61.11,"Business analysts research and understand the strategic position of businesses and companies in relation to their markets and their stakeholders. They analyse and present their views on how the company, from many perspectives, can improve its strategic position and internal corporate structure. They assess needs for change, communication methods, technology, IT tools, new standards and certifications.",2024-01-25T10:51:24.838Z,pending
Supply Chain Analyst,223434,Supply Chain Analyst,2421,Management and organisation analysts,p,http://data.europa.eu/esco/occupation/207d7b18-6540-432e-8aa6-785ed434572f,2421.3,business intelligence manager,business research analyst,alternative_label,no,53.33,"Business intelligence managers gain knowledge of the industry, the innovative processes therein, and contrast them with the operations of the company in order to improve them. They focus their analysis in the supply chain processes, warehouses, storage, and sales as to facilitate communication and revenue improvement.",2024-01-25T10:51:40.523Z,pending
Health Information Manager,223933,Health Information Manager,3252,Medical records and health information technicians,p,http://data.europa.eu/esco/occupation/983c2816-a339-4817-97f4-151a9ff3e64d,3252.2,medical records manager,health records manager,alternative_label,no,70.83,"Medical records managers are responsible for managing activities of medical records units which maintain and secure patient data. They supervise, oversee and train employees while implementing medical department policies.",2024-01-16T14:33:00.871Z,pending
Health Information Manager,223933,Health Information Manager,3252,Medical records and health information technicians,p,http://data.europa.eu/esco/occupation/32ac76f6-20a0-469e-8cac-e68634087dd3,3252.3,picture archiving and communication systems administrator,PACS administration manager,alternative_label,no,67.92,"Picture archiving and communication systems administrators manage picture archiving and communication systems (PACS). They store images taken by various types of medical equipment, such as X-rays, in order to enable easy access to these images for medical. PACS administrators ensure the day-to-day management and maintenance of the system.",2023-07-07T06:47:07.604Z,pending
Health Information Manager,223933,Health Information Manager,3252,Medical records and health information technicians,p,http://data.europa.eu/esco/occupation/92be1fac-97c4-4d4d-ada7-f6aa07d6f316,3252.4,waiting list coordinator,healthcare waiting list manager,alternative_label,no,63.16,Waiting list coordinators guarantee the day to day management of waiting list time. They plan when operation rooms are available and call patients in to be operated. Waiting list coordinators make sure to optimise the use of resources.,2024-01-17T16:45:40.637Z,pending
Multimedia Designer,242131,Multimedia Designer,2166,Graphic and multimedia designers,p,http://data.europa.eu/esco/occupation/30ed83ba-cc89-4d9f-a59d-5c783c1da56e,2166.15,web designer,multimedia web designer,alternative_label,no,90.48,"Web designers are in charge of creating the visual elements, layout and other aspects such as the easiness of use of a website. They follow the different phases of a website creation from the design to the implementation until it goes live. They work side by side with front-end developers to design user interfaces that met the needs of customers and are also appealing. They are responsible of developing mock-ups and of confirming the technical feasibility of the product. They can use and put together various types of elements for the website including graphics, animations, text, videos and photos. They are in contact with clients and stakeholders of the company to ensure that the design of the website meets their needs.",2023-10-24T10:19:17.11Z,pending
Multimedia Designer,242131,Multimedia Designer,2166,Graphic and multimedia designers,p,http://data.europa.eu/esco/occupation/d5a43cd3-230e-46d0-ba05-d67d61e5cfbb,2166.7,digital media designer,digital multimedia designer,alternative_label,no,82.61,"Digital media designers create and edit graphics, animations, sound, text and video to assist in the creation of integrated multimedia products. They may perform activities related to the web, social networks, augmented reality and virtual reality but exclude the production of music using physical instruments and complex software sound synthesis tools. Digital media designers may program and build websites, mobile applications and other multimedia products.",2024-01-25T10:17:16.337Z,pending
Multimedia Designer,242131,Multimedia Designer,2166,Graphic and multimedia designers,p,http://data.europa.eu/esco/occupation/69bcbb0a-8d80-4ecd-b0a4-9adea2a40de2,2166.9,graphic designer,commercial designer,alternative_label,no,73.68,"Graphic designers create text and images to communicate ideas. They make visual concepts by hand or using computer software, intended for publishing in paper or online media such as advertisements, websites, and magazines.",2024-01-25T10:17:18.97Z,pending
UI / UX Designer,242132,UI / UX Designer,2166,Graphic and multimedia designers,p,http://data.europa.eu/esco/occupation/30ed83ba-cc89-4d9f-a59d-5c783c1da56e,2166.15,web designer,ux designer,alternative_label,no,88.0,"Web designers are in charge of creating the visual elements, layout and other aspects such as the easiness of use of a website. They follow the different phases of a website creation from the design to the implementation until it goes live. They work side by side with front-end developers to design user interfaces that met the needs of customers and are also appealing. They are responsible of developing mock-ups and of confirming the technical feasibility of the product. They can use and put together various types of elements for the website including graphics, animations, text, videos and photos. They are in contact with clients and stakeholders of the company to ensure that the design of the website meets their needs.",2023-10-24T10:19:17.11Z,pending
UI / UX Designer,242132,UI / UX Designer,2166,Graphic and multimedia designers,p,http://data.europa.eu/esco/occupation/52df9d56-efd4-48d0-ad93-59231943fc4c,2166.3.1,3D animator,CGI designer,alternative_label,no,76.92,"3D animators are in charge of animating 3D models of objects, virtual environments, layouts, characters and 3D virtual animated agents.",2023-11-28T09:40:49.966Z,pending
